product;size;cost_usd_no_labor;Price on POS;Markup;Gross margin
Prosciutto Royale Sandwich;Standard;4,36;9,95;128,2110092;43,81909548
Qargo Classic Sandwich;Standard;1,98;6,95;251,010101;28,48920863
Raspberry Cream Cheese Danish;Standard;1,03;4,95;380,5825243;20,80808081
Red Velvet Cake;Standard;2,46;6,75;174,3902439;36,44444444
Ricotta and Pistachio Cake;Standard;3,41;8,95;162,4633431;38,10055866
Salmone Fresco Sandwich;Standard;11,2;14,95;33,48214286;74,91638796
Salmone Mattina Sandwich;Standard;5,31;12,95;143,8794727;41,003861
San Pellegrino;Standard;1,04;3,45;231,7307692;30,14492754
San Pellegrino Aranciata;Standard;1,04;3,95;279,8076923;26,32911392
San Pellegrino Ciao Lime;Standard;0,16;2,95;1743,75;5,423728814
San Pellegrino Limonata;Standard;1,04;3,95;279,8076923;26,32911392
Sandwich Caprese al Croissant;Standard;2,76;9,95;260,5072464;27,73869347
Seasoning Mix;Standard;3,44;0;-100;#DIV/0!
Simply Orange Juice;Standard;5,5;3,45;-37,27272727;159,4202899
Smoothie Berry Burst Fussion;16 Oz;2,2;6,65;202,2727273;33,08270677
Smoothie Berry Burst Fussion;20 Oz;2,57;7,25;182,1011673;35,44827586
Smoothie Berry Burst Fussion;24 Oz;2,93;7,65;161,0921502;38,30065359
Smoothie Mango Dreamsicle;16 Oz;2,2;6,65;202,2727273;33,08270677
Smoothie Mango Dreamsicle;20 Oz;2,57;7,25;182,1011673;35,44827586
Smoothie Mango Dreamsicle;24 Oz;2,94;7,65;160,2040816;38,43137255
Smoothie Pina Coco Lada;16 Oz;2,34;5,65;141,4529915;41,4159292
Smoothie Pina Coco Lada;20 Oz;2,75;7,25;163,6363636;37,93103448
Smoothie Pina Coco Lada;24 Oz;3,15;7,65;142,8571429;41,17647059
Soda Mango Colada;16 Oz;1,26;5,95;372,2222222;21,17647059
Soda Mango Colada;20 Oz;1,48;6,95;369,5945946;21,29496403
Soda Mango Colada;24 Oz;1,7;7,45;338,2352941;22,81879195
Soda Mother of Dragons;16 Oz;1,09;5,95;445,8715596;18,31932773
Soda Mother of Dragons;20 Oz;1,27;6,95;447,2440945;18,27338129
Soda Mother of Dragons;24 Oz;1,44;7,45;417,3611111;19,32885906
Soda Strawberries and Cream;16 Oz;1,27;5,95;368,503937;21,34453782
Soda Strawberries and Cream;20 Oz;1,45;6,95;379,3103448;20,86330935
Soda Strawberries and Cream;24 Oz;1,64;7,45;354,2682927;22,01342282
Soda Watermelon Cooler;16 Oz;1,12;5,95;431,25;18,82352941
Soda Watermelon Cooler;20 Oz;1,3;6,95;434,6153846;18,70503597
Soda Watermelon Cooler;24 Oz;1,49;7,45;400;20
Spinach and Feta Danish;Standard;2,07;4,95;139,1304348;41,81818182
Spinach Kale and Cheese Croissant;Standard;1,3;4,95;280,7692308;26,26262626
Strawberry Cheesecake;Standard;2,67;6,95;160,2996255;38,41726619
Strawberry Danish;Standard;1,37;4,95;261,3138686;27,67676768
Stroopwafel;Standard;1,25;1,75;40;71,42857143
Tart Mixed Berry;Standard;3,77;8,55;126,7904509;44,09356725
Tiramisu;Standard;2,28;9,95;336,4035088;22,91457286
Tiramisu With Ladyfingers;Standard;3,08;5;62,33766234;61,6
Tomato and Olive Danish;Standard;2,07;4,95;139,1304348;41,81818182
Tres Leches Cake;Standard;2,11;5,45;158,2938389;38,71559633
Turkey Bacon al Fresco Sandwich;Standard;2,21;11,95;440,7239819;18,49372385
Turkey Bacon Classico Sandwich;Standard;9,6;11,5;19,79166667;83,47826087
Turkey Bacon Formaggio Sandwich;Standard;9,51;11,95;25,65720294;79,58158996
Vanilla Eclair;Standard;2,04;4,45;118,1372549;45,84269663
Veggie Caprese Sandwich;Standard;2,63;6,95;164,2585551;37,84172662
Waffles Belgian;Standard;5,27;7,95;50,85388994;66,28930818
Waffles Birthday Cake;Standard;1,2;7,95;562,5;15,09433962
Water Bottle Smart;Standard;0,95;2,5;163,1578947;38
