id,name,category,purchase_price,purchase_unit,usage_unit,conversion_factor,yield_percentage,current_price,status
26,Blue Raspberry Fruit Fusion,fruit_concentrate,19.0000,bottle,ml,1893.000000,98.000,19.0000,active
27,Mango Passion Fruit Fusion,fruit_concentrate,19.0000,bottle,L,1893.000000,98.000,19.0000,active
28,Pina Colada Fruit Fusion,fruit_concentrate,19.0000,bottle 64 oz,ml,1893.000000,98.000,19.0000,active
29,Watermelon Fruit Fusion,fruit_concentrate,19.0000,bottle 64 oz,oz,64.000000,98.000,19.0000,active
30,Orange Creamsicle Fruit Fusion,fruit_concentrate,19.0000,bottle 64 oz,ml,1893.000000,98.000,19.0000,active
31,Cream Base,fruit_concentrate,19.9900,bottle,L,1893.000000,98.000,19.9900,active
32,Strawberry Fruit Puree,fruit_concentrate,15.0000,bottle 1 L,ml,1000.000000,98.000,15.0000,active
33,Chocolate Sauce,sauces,23.4900,case,ml,1893.000000,98.000,23.4900,active
34,Pesto,sauces,60.0900,case 3 x 30 oz,ml,2661.000000,100.000,60.0900,active
35,Mustard,sauces,29.0000,case X 420 OZ,ml,12421.000000,100.000,29.0000,active
36,Mayonnaise,sauces,42.7300,Case 4 × 4 gal,oz,60567.000000,100.000,42.7300,active
37,Balsamic Vinegar,sauces,21.1400,case,ml,5000.000000,100.000,21.1400,active
38,Lemon Juice,sauces,32.2500,case,ml,5678.000000,100.000,32.2500,active
39,Olive Oil,sauces,59.9500,canister 1 gal,ml,3745.000000,100.000,59.9500,active
40,Vanilla Powder,powders,26.9900,canister 3 lb,oz,48.000000,98.000,26.9900,active
41,Chocolate Powder,powders,20.2100,case,g,1362.000000,98.000,20.2100,active
42,Taro Powder,powders,18.4900,case,g,1000.000000,100.000,18.4900,active
43,Icing Sugar,powders,22.4900,case,lb,4536.000000,100.000,22.4900,active
44,Whey Protein,powders,89.7500,Container 5 lb,g,2267.000000,100.000,89.7500,active
45,Tapioca Pearls,specialty,65.4900,case,oz,1361.000000,100.000,65.4900,active
46,Crushed Oreo,specialty,6.9900,case,g,454.000000,100.000,6.9900,active
47,Honey Oat Granola,specialty,19.4900,case 4 X 12 oz,g,1361.000000,98.000,19.4900,active
48,Chia Seeds,specialty,37.4900,case,g,2268.000000,100.000,37.4900,active
49,Cooking Spray,specialty,5.7900,case,g,482.000000,100.000,5.7900,active
50,Orange Food Coloring,specialty,10.4900,bottle 10.5 oz,ml,310.000000,98.000,10.4900,active
51,Seasoning Mix,specialty,3.5200,case,g,283.000000,100.000,3.5200,active
52,Water,beverages,19.0000,1 gal,ml,3785.000000,100.000,19.0000,active
53,Club Soda,beverages,17.9500,case,ml,8518.000000,100.000,17.9500,active
54,Arugula,produce,21.8000,Bag 4 lb,g,1814.000000,100.000,21.8000,active
55,Sliced Tomato,produce,26.0400,Case x 25 lb,slice,380.000000,98.000,26.0400,active
56,Basil,produce,7.3400,case,g,28.340000,98.000,7.3400,active
57,Avocado,produce,1.6000,unit,unit,8.000000,77.000,1.6000,active
58,Dried Oregano,produce,11.4900,case,g,680.000000,100.000,11.4900,active
59,Capers,produce,5.9100,16 oz jar,g,1500.000000,98.000,5.9100,active
