id,name,category,conversion_factor,purchase_unit,usage_unit,canonical_unit,purchase_price,current_price,yield_percentage
417,Pressed - Orange Juice,Beverages,,case,,,27.2300,27.2300,
418,Pressed - Vitality Shot,Beverages,,case,,,74.8400,74.8400,
419,Pressed - Wellness Shot,Beverages,,case,,,74.8400,74.8400,
395,Pure Leaf/Lipton - Tea - Sweet Iced,Beverages,,case,,,22.7900,22.7900,
394,Pure Leaf/Lipton - Tea - Unsweetened Iced,Beverages,,case,,,22.7900,22.7900,
420,Rev. Tea - Oregon Spearmint & Peppermint Herbal Tea / 20 Ct,Tea,,box,,,32.4000,32.4000,
656,Sammy'S - Cake - Lemon Pound,Bakery,,case,,,7.4700,7.4700,
462,Sammy'S - Cake - Original Crumb,Bakery,,case,,,9.1600,9.1600,
463,Sammy'S - Cake - Plain Pound,Bakery,,case,,,4.9800,4.9800,
465,Sammy'S - Cookies - Black & White,Bakery,,case,,,8.3700,8.3700,
467,Sammy'S - Danish - Blueberry,Bakery,,case,,,6.8700,6.8700,
470,Sammy'S - Danish - Raspberry,Bakery,,case,,,9.1600,9.1600,
472,Sammy'S - Scone - Chocolate Chip Scone,Bakery,,case,,,5.3800,5.3800,
473,Sammy'S - Turnover - Apple,Bakery,,case,,,4.5800,4.5800,
421,Something & Nothing - Cucumber,Beverages,,case,,,22.0300,22.0300,
423,Something & Nothing - Ginger & Key Lime,Beverages,,case,,,27.0600,27.0600,
424,Something & Nothing - Hibiscus & Rose,Beverages,,case,,,22.0300,22.0300,
570,Something & Nothing - Mango & Thai Basil - 12 Oz.,Beverages,,case,,,27.0600,27.0600,
425,Something & Nothing - Orange + Mandarin,Beverages,,case,,,27.0000,27.0000,
426,Something & Nothing - Pineapple & Pink Grapefruit,Beverages,,case,,,23.2400,23.2400,
427,Something & Nothing - Sic Lemon Iced Tea,Beverages,,case,,,27.0300,27.0300,
635,Sugar In The Raw - Sugar Turbinado,Ingredients,,Case,,,34.6200,34.6200,
429,Sunraysia Juice - Cranberry X 250 Ml,Beverages,,case,,,36.8600,36.8600,
430,Sunraysia Juice - Mango X 250 Ml,Beverages,,case,,,37.4400,37.4400,
431,Sunraysia Juice - Orange X 250 Ml,Beverages,,case,,,36.5000,36.5000,
432,Sunraysia Juice - Pear X 250 Ml,Beverages,,case,,,38.5400,38.5400,
433,Sunraysia Juice - Pineapple X 250 Ml,Beverages,,case,,,37.4400,37.4400,
636,Sweet Plus - Sugar Substitute Packet Yellow,Ingredients,,Case,,,36.7900,36.7900,
637,Sysco Classic - Film Pvc Chloride Roll 2000 Feet Slide Cutter,Cleaning Supplies,,Case,,,20.5700,20.5700,
638,Sysco Classic - Glove Nitrile Foodservice Powder-Free Black Large,Cleaning Supplies,,Case,,,84.7500,84.7500,
639,Sysco Classic - Glove Nitrile Foodservice Powder-Free Black Medium,Cleaning Supplies,,Case,,,84.7500,84.7500,
640,Sysco Classic - Liner Trash 24 Inch X 32 Inch 0.35 Mil Black Linear Low-Density Polyethylene (Lldpe),Cleaning Supplies,,Case,,,33.6500,33.6500,
641,Sysco Classic - Liner Trash 38 Inch X 58 Inch 0.9 Mil Black Linear Low-Density Polyethylene (Lldpe),Cleaning Supplies,,Case,,,46.9500,46.9500,
642,Sysco Classic - Spice - Cinnamon Ground,Ingredients,,Case,,,10.2300,10.2300,
644,"Sysco Supplies - Pad Scour Green 6"" X 9"" Antimicrobial",Cleaning Supplies,,Case,,,13.6500,13.6500,
648,Wholesome Farms - Creamer Half & Half,Dairy Products,,Case,,,56.8900,56.8900,
649,Wholesome Farms - Creamer Half And Half Portion Control Aseptic,Dairy Products,,Case,,,31.8500,31.8500,
650,Wholesome Farms - Milk - Skim Fat Free,Dairy Products,,Case,,,13.9900,13.9900,
