scope_type,scope_code,ingredient_name,manufacturer_name,distributor_name,priority,valid_from,assigned_by,change_reason,notes
store,12-DB-MI,Focaccia,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
store,12-DB-MI,Strawberry Danish,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
store,12-DB-MI,Leek and Parmesan Danish,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
store,12-DB-MI,Cherry Greek Yogurt Danish,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
store,12-DB-MI,Raspberry Cream Cheese Danish,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
store,6-DT-MI,Cinnamon Roll,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
store,6-DT-MI,Maple Pecan Danish,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
store,6-DT-MI,Focaccia,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
store,6-DT-MI,Strawberry Danish,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
store,6-DT-MI,Leek and Parmesan Danish,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
store,6-DT-MI,Raspberry Cream Cheese Danish,Bridor,Pointe Dairy,1,2025-10-01,etl_migration_2026,initial_load,
store,2-LB-CA,Focaccia,Bridor,TCW,1,2025-10-01,etl_migration_2026,initial_load,
store,2-LB-CA,Lemon Danish,Bridor,TCW,1,2025-10-01,etl_migration_2026,initial_load,
store,2-LB-CA,Strawberry Danish,Bridor,TCW,1,2025-10-01,etl_migration_2026,initial_load,
store,2-LB-CA,Leek and Parmesan Danish,Bridor,TCW,1,2025-10-01,etl_migration_2026,initial_load,
store,2-LB-CA,All Butter Curved Croissant,Bridor,TCW,1,2025-10-01,etl_migration_2026,initial_load,
store,3-TM-FL,Strawberry Danish,Bridor,French Bakery,1,2025-10-01,etl_migration_2026,initial_load,
store,3-TM-FL,Cheese Danish,Bridor,French Bakery,1,2025-10-01,etl_migration_2026,initial_load,
store,3-TM-FL,Lemon Danish,Bridor,French Bakery,1,2025-10-01,etl_migration_2026,initial_load,
store,3-TM-FL,Chocolate Croissant,Bridor,French Bakery,1,2025-10-01,etl_migration_2026,initial_load,
