ingredient_name,manufacturer_name,distributor_name,recipe_unit,purchase_qty,recipe_qty,notes
Sliced Tomato,,,slice,1,14.0,Tomato slice: 28g/2 = 14g (DB)
Proscuitto,,,slice,1,20.0,Slice generic = 20g (DB)
Turkey Bacon,,,slice,1,20.0,Slice generic = 20g (DB)
Smoked Salmon,,,slice,1,30.0,Premium lox slice: 2 slices/portion ≈ 60g → 30g (Fermi)
Chicken Breast Grilled,,,slice,1,45.0,Grilled breast 140g ÷ 3 slices ≈ 45g (Fermi)
Avocado,,,table spoon,1,14.0,Tablespoon = 14g (DB)
Capers,,,table spoon,1,14.0,Tablespoon = 14g (DB)
Crumbled Blue Cheese,,,table spoon,1,14.0,Tablespoon = 14g (DB)
Chia Seeds,,,table spoon,1,14.0,Tablespoon = 14g (DB)
Cream Cheese,,,table spoon,1,14.0,Tablespoon = 14g (DB)
Matcha,,,table spoon,1,14.0,Tablespoon = 14g (DB)
Mayonnaise,,,table spoon,1,14.0,Tablespoon = 14g (DB)
Mustard,,,table spoon,1,14.0,Tablespoon = 14g (DB)
Pesto,,,table spoon,1,14.0,Tablespoon = 14g (DB)
Dried Oregano,,,sprinkle,1,3.0,Sprinkle = 3g (DB)
Coconut Flakes,,,sprinkle,1,3.0,Sprinkle = 3g (DB)
Icing Sugar,,,sprinkle,1,3.0,Sprinkle = 3g (DB)
Seasoning Mix,,,sprinkle,1,3.0,Sprinkle = 3g (DB)
Balsamic Vinegar,,,drizzle,1,14.0,Drizzle = 14g (DB)
Lemon Juice,,,drizzle,1,14.0,Drizzle = 14g (DB)
Olive Oil,,,drizzle,1,14.0,Drizzle = 14g (DB)
Basil,,,leaf,1,0.5,Basil leaf = 0.5g (DB)
Arugula,,,hanful,1,30.0,Handful arugula ≈ 30g (Fermi); note: typo in recipes
Orange Food Coloring,,,drop,1,0.045,Drop = 0.045g (DB)
Whipped Cream,,,rosette,1,28.0,Rosette = 28g (DB); note: ingredient deleted from list
